,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,6339095.0,6306301.0,4552153.0,3374575.0,2731166.0,2679132.0,2674234.0,2676675.0,2667118.0,2601690.0,3587327.0,3809763.0,2510294.0,2136039.0,2414460.0,2166139.0,2107510.0,3057655.0,2833116.0,2887114.0,3054699.0,2664423.0,2586132.0,2556483.0,2596259.0,2666294.0,2501447.0,2624265.0,2681267.0,2727556.0,2594827.0,2712858.0
4,Angola,407760.0,381638.0,300494.0,323822.0,282570.0,246653.0,249686.0,267687.0,319420.0,353472.0,433756.0,470616.0,435415.0,329573.0,228842.0,215811.0,206482.0,186137.0,171374.0,141006.0,134851.0,128657.0,19253.0,10274.0,9468.0,11855.0,8388.0,8292.0,8243.0,8176.0,8196.0,11403.0
21,Bosnia and Herzegovina,,,437501.0,618428.0,776090.0,769753.0,993868.0,849240.0,640077.0,598193.0,504980.0,447326.0,406456.0,300012.0,228813.0,109931.0,199948.0,78267.0,74358.0,70006.0,62996.0,58572.0,51815.0,26787.0,21883.0,18763.0,18194.0,17690.0,16956.0,16556.0,15578.0,18189.0
60,Ethiopia,1345928.0,251243.0,313131.0,251828.0,226429.0,100986.0,96264.0,84386.0,70663.0,71040.0,66396.0,58980.0,61235.0,62674.0,63153.0,65447.0,74007.0,59845.0,63863.0,62877.0,68838.0,70601.0,74964.0,77109.0,86857.0,85839.0,83958.0,87448.0,92232.0,93467.0,151426.0,149125.0
82,Iraq,1133805.0,1321853.0,1343824.0,771074.0,749833.0,718717.0,714727.0,707342.0,675030.0,642875.0,526165.0,530508.0,422504.0,368577.0,311889.0,262302.0,1450908.0,2309246.0,1903516.0,1785215.0,1683576.0,1428306.0,746204.0,401461.0,369960.0,264086.0,316056.0,362536.0,372332.0,336274.0,333200.0,343897.0
119,Myanmar,24.0,40052.0,245127.0,281571.0,204512.0,152301.0,143019.0,135771.0,133408.0,131661.0,137121.0,145849.0,148493.0,151370.0,160997.0,164851.0,202817.0,191308.0,184410.0,406667.0,415662.0,414615.0,415363.0,479594.0,479006.0,451804.0,490285.0,1156742.0,1145149.0,1076826.0,1103245.0,1177029.0
160,Somalia,470174.0,732596.0,812196.0,574612.0,631420.0,638695.0,636984.0,608086.0,557953.0,524604.0,475644.0,440120.0,432304.0,402329.0,389287.0,395544.0,464026.0,457345.0,561145.0,678296.0,770141.0,1077038.0,1136709.0,1121760.0,1106430.0,1123144.0,1012320.0,986386.0,949637.0,901596.0,812356.0,776678.0
164,Sudan,523996.0,196242.0,267767.0,393868.0,405129.0,445277.0,475302.0,364571.0,390001.0,485449.0,494351.0,489931.0,508863.0,606230.0,730631.0,693621.0,686296.0,523029.0,419249.0,368178.0,387265.0,500004.0,568934.0,648936.0,665956.0,627080.0,650391.0,694556.0,724787.0,734780.0,787823.0,825290.0
169,Syrian Arab Republic,2148.0,3037.0,4408.0,5412.0,7087.0,7995.0,8611.0,8653.0,8132.0,6693.0,5868.0,4861.0,18908.0,20816.0,21430.0,16395.0,12327.0,13684.0,15206.0,17915.0,18451.0,19931.0,729011.0,2468323.0,3887490.0,4873236.0,5524511.0,6310498.0,6654374.0,6615249.0,6702910.0,6848845.0
191,Vietnam,496029.0,498323.0,517111.0,527625.0,539095.0,543536.0,518335.0,476795.0,435437.0,405378.0,370753.0,353211.0,373732.0,363170.0,349793.0,358268.0,374278.0,327770.0,328175.0,339299.0,338707.0,337828.0,336936.0,314109.0,313420.0,313152.0,329341.0,334064.0,334464.0,316441.0,316728.0,317737.0
