Country,Year,Refugees
Afghanistan,1990,6339095.0
Angola,1990,407760.0
Bosnia and Herzegovina,1990,
Ethiopia,1990,1345928.0
Iraq,1990,1133805.0
Myanmar,1990,24.0
Somalia,1990,470174.0
Sudan,1990,523996.0
Syrian Arab Republic,1990,2148.0
Vietnam,1990,496029.0
Afghanistan,1991,6306301.0
Angola,1991,381638.0
Bosnia and Herzegovina,1991,
Ethiopia,1991,251243.0
Iraq,1991,1321853.0
Myanmar,1991,40052.0
Somalia,1991,732596.0
Sudan,1991,196242.0
Syrian Arab Republic,1991,3037.0
Vietnam,1991,498323.0
Afghanistan,1992,4552153.0
Angola,1992,300494.0
Bosnia and Herzegovina,1992,437501.0
Ethiopia,1992,313131.0
Iraq,1992,1343824.0
Myanmar,1992,245127.0
Somalia,1992,812196.0
Sudan,1992,267767.0
Syrian Arab Republic,1992,4408.0
Vietnam,1992,517111.0
Afghanistan,1993,3374575.0
Angola,1993,323822.0
Bosnia and Herzegovina,1993,618428.0
Ethiopia,1993,251828.0
Iraq,1993,771074.0
Myanmar,1993,281571.0
Somalia,1993,574612.0
Sudan,1993,393868.0
Syrian Arab Republic,1993,5412.0
Vietnam,1993,527625.0
Afghanistan,1994,2731166.0
Angola,1994,282570.0
Bosnia and Herzegovina,1994,776090.0
Ethiopia,1994,226429.0
Iraq,1994,749833.0
Myanmar,1994,204512.0
Somalia,1994,631420.0
Sudan,1994,405129.0
Syrian Arab Republic,1994,7087.0
Vietnam,1994,539095.0
Afghanistan,1995,2679132.0
Angola,1995,246653.0
Bosnia and Herzegovina,1995,769753.0
Ethiopia,1995,100986.0
Iraq,1995,718717.0
Myanmar,1995,152301.0
Somalia,1995,638695.0
Sudan,1995,445277.0
Syrian Arab Republic,1995,7995.0
Vietnam,1995,543536.0
Afghanistan,1996,2674234.0
Angola,1996,249686.0
Bosnia and Herzegovina,1996,993868.0
Ethiopia,1996,96264.0
Iraq,1996,714727.0
Myanmar,1996,143019.0
Somalia,1996,636984.0
Sudan,1996,475302.0
Syrian Arab Republic,1996,8611.0
Vietnam,1996,518335.0
Afghanistan,1997,2676675.0
Angola,1997,267687.0
Bosnia and Herzegovina,1997,849240.0
Ethiopia,1997,84386.0
Iraq,1997,707342.0
Myanmar,1997,135771.0
Somalia,1997,608086.0
Sudan,1997,364571.0
Syrian Arab Republic,1997,8653.0
Vietnam,1997,476795.0
